player_id,player_name,runs_scored,wickets,runs_conceded,catches,stumpings,match_date,opposition,match_id
1,Pat Cummins,DNB,3,28,0,0,19 Oct 2011,v South Africa Centurion,1
2,Steve Smith,DNB,-,-,0,0,19 Oct 2011,v South Africa Centurion,1
10,Mitch Marsh,8*,1,19,1,0,19 Oct 2011,v South Africa Centurion,1
13,David Warner,20,-,-,0,0,19 Oct 2011,v South Africa Centurion,1
1,Pat Cummins,11*,1,73,0,0,23 Oct 2011,v South Africa Gqeberha,2
2,Steve Smith,26,1,24,1,0,23 Oct 2011,v South Africa Gqeberha,2
13,David Warner,74,-,-,0,0,23 Oct 2011,v South Africa Gqeberha,2
1,Pat Cummins,6*,1,49,0,0,28 Oct 2011,v South Africa Durban,3
13,David Warner,10,-,-,1,0,28 Oct 2011,v South Africa Durban,3
1,Pat Cummins,TDNB,1,11,0,0,23 Jun 2012,v Ireland Belfast,4
2,Steve Smith,TDNB,-,-,0,0,23 Jun 2012,v Ireland Belfast,4
13,David Warner,TDNB,-,-,0,0,23 Jun 2012,v Ireland Belfast,4
1,Pat Cummins,4,1,53,0,0,29 Jun 2012,v England Lord's,5
2,Steve Smith,8,-,-,0,0,29 Jun 2012,v England Lord's,5
13,David Warner,56,-,-,1,0,29 Jun 2012,v England Lord's,5
1,Pat Cummins,1*,2,61,1,0,21 Nov 2014,v South Africa Melbourne,6
2,Steve Smith,104,0,27,2,0,21 Nov 2014,v South Africa Melbourne,6
11,Glenn Maxwell,2,1,43,1,0,21 Nov 2014,v South Africa Melbourne,6
13,David Warner,4,-,-,0,0,21 Nov 2014,v South Africa Melbourne,6
15,Mitchell Starc.,DNB,1,40,0,0,21 Nov 2014,v South Africa Melbourne,6
1,Pat Cummins,0,3,54,1,0,23 Nov 2014,v South Africa Sydney,7
2,Steve Smith,67,1,17,1,0,23 Nov 2014,v South Africa Sydney,7
8,Josh Hazlewood,DNB,0,52,0,0,23 Nov 2014,v South Africa Sydney,7
11,Glenn Maxwell,7,1,30,0,0,23 Nov 2014,v South Africa Sydney,7
13,David Warner,21,-,-,0,0,23 Nov 2014,v South Africa Sydney,7
15,Mitchell Starc.,1*,0,60,0,0,23 Nov 2014,v South Africa Sydney,7
1,Pat Cummins,DNB,1,42,0,0,16 Jan 2015,v England Sydney,8
2,Steve Smith,37,-,-,1,0,16 Jan 2015,v England Sydney,8
11,Glenn Maxwell,0,1,37,4,0,16 Jan 2015,v England Sydney,8
13,David Warner,127,-,-,1,0,16 Jan 2015,v England Sydney,8
15,Mitchell Starc.,0*,4,42,0,0,16 Jan 2015,v England Sydney,8
1,Pat Cummins,DNB,0,52,0,0,18 Jan 2015,v India Melbourne,9
2,Steve Smith,47,-,-,0,0,18 Jan 2015,v India Melbourne,9
11,Glenn Maxwell,20,0,14,2,0,18 Jan 2015,v India Melbourne,9
13,David Warner,24,-,-,0,0,18 Jan 2015,v India Melbourne,9
15,Mitchell Starc.,DNB,6,43,0,0,18 Jan 2015,v India Melbourne,9
16,Rohit Sharma,138,-,-,0,0,18 Jan 2015,v Australia Melbourne,9
19,Virat Kohli,9,-,-,0,0,18 Jan 2015,v Australia Melbourne,9
27,Mohammed Shami,2*,1,44,0,0,18 Jan 2015,v Australia Melbourne,9
28,Ravichandran Ashwin,14*,1,54,1,0,18 Jan 2015,v Australia Melbourne,9
1,Pat Cummins,DNB,1,74,0,0,23 Jan 2015,v England Hobart,10
2,Steve Smith,102*,-,-,0,0,23 Jan 2015,v England Hobart,10
11,Glenn Maxwell,37,0,22,0,0,23 Jan 2015,v England Hobart,10
15,Mitchell Starc.,1*,1,60,1,0,23 Jan 2015,v England Hobart,10
1,Pat Cummins,7*,2,38,2,0,28 Feb 2015,v New Zealand Auckland,11
2,Steve Smith,4,-,-,0,0,28 Feb 2015,v New Zealand Auckland,11
10,Mitch Marsh,0,0,11,0,0,28 Feb 2015,v New Zealand Auckland,11
11,Glenn Maxwell,1,1,7,0,0,28 Feb 2015,v New Zealand Auckland,11
13,David Warner,34,-,-,1,0,28 Feb 2015,v New Zealand Auckland,11
15,Mitchell Starc.,0,6,28,1,0,28 Feb 2015,v New Zealand Auckland,11
1,Pat Cummins,DNB,3,42,0,0,14 Mar 2015,v Scotland Hobart,12
2,Steve Smith,DNB,-,-,1,0,14 Mar 2015,v Scotland Hobart,12
11,Glenn Maxwell,DNB,1,24,0,0,14 Mar 2015,v Scotland Hobart,12
13,David Warner,21*,-,-,2,0,14 Mar 2015,v Scotland Hobart,12
15,Mitchell Starc.,DNB,4,14,1,0,14 Mar 2015,v Scotland Hobart,12
1,Pat Cummins,DNB,2,19,1,0,27 Aug 2015,v Ireland Belfast,13
2,Steve Smith,21,-,-,0,0,27 Aug 2015,v Ireland Belfast,13
10,Mitch Marsh,11,0,26,0,0,27 Aug 2015,v Ireland Belfast,13
11,Glenn Maxwell,2,2,41,0,0,27 Aug 2015,v Ireland Belfast,13
13,David Warner,84,-,-,0,0,27 Aug 2015,v Ireland Belfast,13
15,Mitchell Starc.,DNB,2,34,0,0,27 Aug 2015,v Ireland Belfast,13
